件数,医療機関コード,医療機関名,住所,市町村,電話番号,医師名,診療科目,診療時間_午前,診療時間_午後,月,火,水,木,金,土,日,祝日,休診日_1,休診日_2,休診日_3,オンライン診療,夜間診療,特徴,MAP
1,01-15184 ,角田医院,〒770－8041徳島市上八万町西山６９５,徳島市,088-644-2122,角田　悦男,小児科,9:00~12:00,14:00~20:00(18:30),1,1,1,1,1,1,0,0,日・祝,0,0,0,0,平日午後は18:30で終了することがあります。,"https://www.google.com/maps/place/%E3%80%92770-8041+%E5%BE%B3%E5%B3%B6%E7%9C%8C%E5%BE%B3%E5%B3%B6%E5%B8%82%E4%B8%8A%E5%85%AB%E4%B8%87%E7%94%BA%E8%A5%BF%E5%B1%B1%EF%BC%96%EF%BC%99%EF%BC%95+%E8%A7%92%E7%94%B0%E5%8C%BB%E9%99%A2/@34.0309542,134.4884915,17z/data=!3m1!4b1!4m6!3m5!1s0x35530c6bcbf543d5:0x206aea77a344040a!8m2!3d34.0309498!4d134.4910664!16s%2Fg%2F11fx58ys8b?entry=ttu"
2,01-15218 ,井上内科胃腸科,〒770－0868徳島市福島１丁目３番４０号,徳島市,088-625-0181,井上　庄二,小児科,9:00~13:00,14:00~18:00,1,1,1,1,1,1,1,0,祝,日（午後）,0,0,0,英語での対応可能です。（※日常会話レベル）,"https://www.google.com/maps/place/%E4%BA%95%E4%B8%8A%E5%86%85%E7%A7%91%E8%83%83%E8%85%B8%E7%A7%91/@34.069434,134.563396,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d694170be73:0x96d93c04f86542a9!8m2!3d34.069434!4d134.563396!16s%2Fg%2F1tdx6jj3?entry=ttu"
3,01-15473 ,北前川診療所,〒770－0806徳島市北前川町３丁目１７－２－２２－２３,徳島市,088-623-3801,近藤　千鶴子,小児科,9:00~13:00,15:00~18:00,1,1,1,1,1,1,0,0,日・祝,水・土（午後）,0,0,0,在宅診療していただけます。,"https://www.google.com/maps/place/%E5%8C%97%E5%89%8D%E5%B7%9D%E8%A8%BA%E7%99%82%E6%89%80/@34.081263,134.553257,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d7cf04f21bb:0x28cd418e780d1a5!8m2!3d34.081263!4d134.553257!16s%2Fg%2F1tdmh92v?entry=ttu"
4,01-15689 ,和田内科循環器科,〒770－0937徳島市富田橋５丁目３０番地２,徳島市,088-654-7280,和田　泰男,小児科,9:00~12:30,14:30~18:30,1,1,1,1,1,1,0,0,日・祝,木・土（午後）,0,0,0,マイナンバーカード保険証利用可能。,"https://www.google.com/maps/place/%E5%92%8C%E7%94%B0%E5%86%85%E7%A7%91/@34.0602794,134.5502998,17z/data=!3m1!4b1!4m6!3m5!1s0x355372a9d621a093:0xfde587963dc15a85!8m2!3d34.0602794!4d134.5502998!16s%2Fg%2F1tk88z04?entry=ttu"
5,01-16380 ,ふくや小児科内科,〒770－8074徳島市八万町下福万１４９－９,徳島市,088-668-1633,福家　浩,小児科,9:00~12:00,13:00~19:00,1,1,1,1,1,1,0,0,日・祝,0,0,0,0,土曜も19:00まで診療しています。,"https://www.google.com/maps/place/%E3%81%B5%E3%81%8F%E3%82%84%E5%B0%8F%E5%85%90%E7%A7%91%E5%86%85%E7%A7%91/@34.050619,134.5324458,17z/data=!3m1!4b1!4m6!3m5!1s0x35530d5a5794c201:0x9cfcc60eb1eca695!8m2!3d34.050619!4d134.5324458!16s%2Fg%2F1tg4tnpr?entry=ttu"
6,01-16398 ,中瀬医院,〒770－0937徳島市富田橋１丁目１１番地２,徳島市,088-623-3758,中瀬　勝則,小児科,9:00~12:30,14:00~18:00,1,1,1,1,1,1,0,0,日・祝,土（午後） ,0,0,0,毎週火曜日14時から医師による糖尿病教室、管理栄養士による栄養指導が行われています。,"https://www.google.com/maps/place/%E4%B8%AD%E7%80%AC%E5%8C%BB%E9%99%A2/@34.066582,134.553547,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d5ec6486c83:0xb569380122681811!8m2!3d34.066582!4d134.553547!16s%2Fg%2F1vppqbl0?entry=ttu"
7,01-16547 ,ひうら小児科,〒770－0025徳島市佐古五番町１０－７,徳島市,088-626-2503,日浦　恭一,小児科,9:00~12:30,14:30~18:00,1,1,1,1,1,1,0,0,日・祝,水・土（午後）,0,0,0,佐古駅から西に約710mでアクセスしやすいです。,"https://www.google.com/maps/place/%E3%81%B2%E3%81%86%E3%82%89%E5%B0%8F%E5%85%90%E7%A7%91/@34.078918,134.53109,17z/data=!3m1!4b1!4m6!3m5!1s0x355372c07751f975:0x9092c9340276b742!8m2!3d34.078918!4d134.53109!16s%2Fg%2F1txc4vtl?entry=ttu"
8,01-16703 ,原田医院,〒770－0808徳島市南前川町４丁目４８,徳島市,088-652-3366,原田　和代,小児科,9:00~13:30,15:00~18:00,1,1,1,1,1,1,0,0,日・祝,水（午前）,土（午後） ,0,0,個人の環境や個性を重視した診療を行っていただけます。,"https://www.google.com/maps/place/%E5%8E%9F%E7%94%B0%E5%8C%BB%E9%99%A2/@34.078918,134.53109,14z/data=!4m10!1m2!2m1!1z5Y6f55Sw5Yy76Zmi44CA5b6z5bO2!3m6!1s0x3553729d72ed0d15:0x408059d12a9e6117!8m2!3d34.0796264!4d134.5491247!15sChXljp_nlLDljLvpmaLjgIDlvrPls7aSAQlpbnRlcm5pc3TgAQA!16s%2Fg%2F1tdkpm6f?entry=ttu"
9,01-16752 ,水沼循環器呼吸器内科,〒770－0045徳島市南庄町四丁目２４番－３,徳島市,088-632-8496,水沼　良幸,小児科,9:00~12:00,15:00~18:30,1,1,1,1,1,1,0,0,日・祝,土（午後） ,0,0,0,駐車場が広く車で利用しやすくなっています。,"https://www.google.com/maps/place/%E3%80%92770-0045+%E5%BE%B3%E5%B3%B6%E7%9C%8C%E5%BE%B3%E5%B3%B6%E5%B8%82%E5%8D%97%E5%BA%84%E7%94%BA%EF%BC%94%E4%B8%81%E7%9B%AE%EF%BC%92%EF%BC%94%E2%88%92%EF%BC%93+%E6%B0%B4%E6%B2%BC%E5%BE%AA%E7%92%B0%E5%99%A8%E5%91%BC%E5%90%B8%E5%99%A8%E5%86%85%E7%A7%91/@34.0696976,134.5082021,17z/data=!3m1!4b1!4m6!3m5!1s0x35530cd40c59f5cf:0x828f8149ab5354aa!8m2!3d34.0696976!4d134.5082021!16s%2Fg%2F11g6ytzsbz?entry=ttu"
10,01-16760 ,さこう内科クリニック,〒770－0872徳島市北沖洲二丁目８番２５号,徳島市,088-664-1717,佐光　春信,小児科,9:00~12:00,14:30~19:00,1,1,1,1,1,1,0,0,日・祝,木（午後）,0,0,0,在宅診療していただけます。,"https://www.google.com/maps/place/%E3%81%95%E3%81%93%E3%81%86%E5%86%85%E7%A7%91%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.069773,134.588235,17z/data=!3m1!4b1!4m6!3m5!1s0x35536cfe2f1bf715:0x81cbd2a76a90b27e!8m2!3d34.069773!4d134.588235!16s%2Fg%2F1tc_c1nn?entry=ttu"
11,01-16778 ,芦田内科,〒779－3122徳島市国府町府中８０２の１,徳島市,088-642-1481,芦田　信生,小児科,9:00~12:00,14:00~18:00,1,1,1,1,1,0,1,0,祝,日（午後）,0,0,0,訪問診療も行われています。,"https://www.google.com/maps/place/%E8%8A%A6%E7%94%B0%E5%86%85%E7%A7%91/@34.072262,134.476409,17z/data=!3m1!4b1!4m6!3m5!1s0x35530ca0f6e11fe7:0x8eb8d63fc4f89608!8m2!3d34.072262!4d134.476409!16s%2Fg%2F1tvw2rqr?entry=ttu"
12,01-16885 ,真鍋医院,〒770－0805徳島市下助任町３丁目１２－１,徳島市,088-652-9686,真鍋　辰哉,小児科,9:00~12:00,15:00~21:00,1,1,1,1,1,1,0,0,日・祝,水（午後）,0,0,0,迅速な予防・対応に注力されています。,"https://www.google.com/maps/place/%E7%9C%9F%E9%8D%8B%E5%8C%BB%E9%99%A2/@34.081747,134.553605,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d7c5e5a61c7:0x6ac5e5e726aef773!8m2!3d34.081747!4d134.553605!16s%2Fg%2F1tpf4zfg?entry=ttu"
13,01-16968 ,三木内科,〒779－3124徳島市国府町中１０５番地,徳島市,088-642-1024,三木　聡,小児科,9:00~12:00,14:00~18:00,1,1,1,1,1,1,0,0,日・祝,土（午後） ,0,0,0,地域の方に親しまれるような診療所を目指しておられます。,"https://www.google.com/maps/place/%E4%B8%89%E6%9C%A8%E5%86%85%E7%A7%91/@34.069385,134.480628,17z/data=!3m1!4b1!4m6!3m5!1s0x35530ca238bff8b5:0x85fe221f1447f33e!8m2!3d34.069385!4d134.480628!16s%2Fg%2F1tf63997?entry=ttu"
14,01-17057 ,若槻クリニック,〒770－0863徳島市安宅２丁目７－３８,徳島市,088-652-0437,若槻　真吾,小児科,9:00~12:30,14:00~19:00,1,1,1,1,1,1,0,0,日・祝,木（午後）,0,0,0,女性医師による女性外来や、漢方薬による治療も行われています。,"https://www.google.com/maps/place/%E8%8B%A5%E6%A7%BB%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.069479,134.576708,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d0fc582b5ab:0x2ff606890dbf9765!8m2!3d34.069479!4d134.576708!16s%2Fg%2F1tfps2bj?entry=ttu"
15,01-17123 ,北川内科胃腸科,〒770－0861徳島市住吉４丁目５－１,徳島市,088-655-2005,北川　直之,小児科,9:00~12:30,14:30~18:30,1,1,1,1,1,1,0,0,日・祝,0,0,0,0,地域の方へ貢献できることを一番に考えられています。,"https://www.google.com/maps/place/%E5%8C%97%E5%B7%9D%E5%86%85%E7%A7%91%E8%83%83%E8%85%B8%E7%A7%91/@34.07853,134.569506,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d0b28c56167:0x1b83f761fdaba98f!8m2!3d34.07853!4d134.569506!16s%2Fg%2F1wb8rj4f?entry=ttu"
16,01-17198 ,高杉内科外科小児科脳外科,〒779－3112徳島市国府町芝原字天満２５番１,徳島市,088-642-7474,高杉　晋輔,小児科,9:00~12:30,14:30~18:30,1,1,0,1,1,1,0,0,日・祝（午後）,水,0,0,0,地域に密着した医療をお届けしたいと考えられています。,"https://www.google.com/maps/place/%E9%AB%98%E6%9D%89%E5%86%85%E7%A7%91%E5%A4%96%E7%A7%91%E5%B0%8F%E5%85%90%E7%A7%91%E8%84%B3%E5%A4%96%E7%A7%91/@34.099562,134.463499,17z/data=!3m1!4b1!4m6!3m5!1s0x355374b1a4f3bec5:0x169df4a3952f92c6!8m2!3d34.099562!4d134.463499!16s%2Fg%2F1tdf8y7j?entry=ttu"
17,01-17214 ,住友医院,〒770－0842徳島市通町２丁目１７番地,徳島市,088-652-6514,住友　正治,小児科,8:30~12:00,14:30~18:00,1,1,1,1,1,1,0,0,日・祝,木・土（午後）,0,0,0,在宅診療していただけます。,"https://www.google.com/maps/place/%E4%BD%8F%E5%8F%8B%E5%8C%BB%E9%99%A2/@34.099562,134.463499,12z/data=!4m10!1m2!2m1!1z5L2P5Y-L5Yy76Zmi44CA5b6z5bO2!3m6!1s0x35536d600bcb4839:0xf0c3ff361c233855!8m2!3d34.071662!4d134.551139!15sChXkvY_lj4vljLvpmaLjgIDlvrPls7aSAQlpbnRlcm5pc3TgAQA!16s%2Fg%2F1tfdwp2c?entry=ttu"
18,01-17487 ,聖寿館内科・消化器クリニック,〒770－8051徳島市沖浜町明治開３３１－２４,徳島市,088-611-1126,市原　寿江,小児科,8:30~12:00,15:00~19:00,1,1,1,1,1,1,1,0,祝,水・日（午後）,0,0,0,日曜または休日/祝日診療可能です。（※要相談）,"https://www.google.com/maps/place/%E8%81%96%E5%AF%BF%E9%A4%A8%E5%86%85%E7%A7%91%E3%83%BB%E6%B6%88%E5%8C%96%E5%99%A8%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.0497438,134.5472518,17z/data=!3m1!4b1!4m6!3m5!1s0x35530d5692ab0895:0x8d4dbe8814531075!8m2!3d34.0497438!4d134.5472518!16s%2Fg%2F1hc489s5v?entry=ttu"
19,01-17594 ,多田医院,〒770－0805徳島市下助任町４丁目１７－３,徳島市,088-622-5225,志村　守彦,小児科,9:00~13:00,14:00~19:00,1,1,1,1,1,1,0,0,日・祝,火（午前）,木・土（午後）,0,0,24時間ネット予約受付中です。,"https://www.google.com/maps/place/%E5%A4%9A%E7%94%B0%E5%8C%BB%E9%99%A2/@34.082144,134.551155,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d7d7274cfff:0xf6d9a110278b02ee!8m2!3d34.082144!4d134.551155!16s%2Fg%2F1tjdc_vl?entry=ttu"
20,01-17628 ,藤井医院,〒770－0861徳島市住吉一丁目４－３９,徳島市,088-622-8356,藤井　登,小児科,9:00~12:30,13:00~18:00,1,1,1,1,1,1,0,0,日・祝,0,0,0,0,24時間ネット予約受付中です。,"https://www.google.com/maps/place/%E8%97%A4%E4%BA%95%E5%8C%BB%E9%99%A2/@34.0748295,134.5649203,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d7210777a71:0x1b41fb0755144ff6!8m2!3d34.0748295!4d134.5649203!16s%2Fg%2F1tmxnv7x?entry=ttu"
21,01-17685 ,協栄内科,〒770－0943徳島市中昭和町２丁目６,徳島市,088-652-2211,上村　るみ子,小児科,9:00~12:00,12:00~20:00,1,1,1,1,1,1,0,0,日・祝,0,0,0,0,在宅診療していただけます。,"https://www.google.com/maps/place/%E5%8D%94%E6%A0%84%E5%86%85%E7%A7%91/@34.0632525,134.5581832,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d5b68a6f127:0x162f964a0808d3dd!8m2!3d34.0632525!4d134.5581832!16s%2Fg%2F1v3hxt4v?entry=ttu"
22,01-23105 ,豊田内科,〒770－0861徳島市住吉２丁目２－３５,徳島市,088-654-5217,豊田　健二,小児科,9:00~12:30,14:00~18:30,1,1,1,1,1,1,0,0,日・祝,水（午後）,0,0,0,LINE予約できます。,"https://www.google.com/maps/place/%E8%B1%8A%E7%94%B0%E5%86%85%E7%A7%91/@34.078375,134.568667,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d74cebec40f:0x6edb7b72cd4b28ab!8m2!3d34.078375!4d134.568667!16s%2Fg%2F1v6qffnk?entry=ttu"
23,01-23261 ,南医院,〒770－0003徳島市北田宮２丁目２番１７号,徳島市,088-631-4824,南　定,小児科,9:00~13:30,14:30~18:30,1,1,1,1,1,1,0,0,日・祝,水（午後）,0,0,0,土曜の診療時間は17:00までとなっております。,"https://www.google.com/maps/place/%E5%8D%97%E5%8C%BB%E9%99%A2/@34.0870505,134.5415262,17z/data=!3m1!4b1!4m6!3m5!1s0x35537285762e240d:0xc43477f03fe46540!8m2!3d34.0870505!4d134.5415262!16s%2Fg%2F1tctjlx6?entry=ttu"
24,01-23352 ,吉村内科小児科,〒770－8052徳島市沖浜２丁目１番地,徳島市,088-626-3002,吉村　達久,小児科,9:00~13:00,14:30~18:00,1,1,1,1,1,1,0,0,日・祝,0,0,0,0,駐車場が広く車で利用しやすくなっています。,"https://www.google.com/maps/place/%E5%90%89%E6%9D%91%E5%86%85%E7%A7%91%E5%B0%8F%E5%85%90%E7%A7%91/@34.0535225,134.5528599,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d54da281803:0xe2975b2d1e315a4f!8m2!3d34.0535225!4d134.5528599!16s%2Fg%2F1tyctgfz?entry=ttu"
25,01-23394 ,くどう内科クリニック,〒770－8064徳島市城南町４丁目１－５,徳島市,088-652-1815,工藤　美千代,小児科,9:00~12:30,14:00~18:00,1,1,1,1,1,1,0,0,日・祝,土（午後）,0,0,0,安心で安全な医療をお届けするためにマスクの着用をお願いいたします。,"https://www.google.com/maps/place/%E3%81%8F%E3%81%A9%E3%81%86%E5%86%85%E7%A7%91%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF/@34.052599,134.542495,17z/data=!3m1!4b1!4m6!3m5!1s0x35530d518fec2dfd:0x872d91b1999eb0e1!8m2!3d34.052599!4d134.542495!16s%2Fg%2F1tjz15fv?entry=ttu"
26,01-23584 ,むつみホスピタル,〒770－0005徳島市南矢三町３丁目１１番２３号,徳島市,088-631-0181,小谷　泰教,小児科,9:00~12:00,13:00~16:00,1,1,1,1,1,1,0,0,日・祝,0,0,0,0,理念：むつみの道”を共に歩み、人生をより豊かなものとし、今を語り合って生きる,"https://www.google.com/maps/place/%E3%82%80%E3%81%A4%E3%81%BF%E3%83%9B%E3%82%B9%E3%83%94%E3%82%BF%E3%83%AB/@34.0829012,134.5194958,17z/data=!3m1!4b1!4m6!3m5!1s0x355372dc67a065a1:0x5dcf7d43afd2d132!8m2!3d34.0829012!4d134.5194958!16s%2Fg%2F1tj82p1_?entry=ttu"
27,01-23717 ,水の都記念病院,〒770－0051徳島市北島田町１丁目４６番１１,徳島市,088-632-9299,佐々木　克哉,小児科,9:00~13:00,14:00~19:00,1,1,1,1,1,1,0,0,日・祝,0,0,0,0,かかりつけ患者様中心の地域に根差した医療を目指しておられます。,"https://www.google.com/maps/place/%E6%B0%B4%E3%81%AE%E9%83%BD%E8%A8%98%E5%BF%B5%E7%97%85%E9%99%A2/@34.0834754,134.5184749,17z/data=!3m1!4b1!4m6!3m5!1s0x355372dd00000001:0xbb6c1ea7a2d7c46d!8m2!3d34.0834754!4d134.5184749!16s%2Fg%2F11fvqh5pfx?entry=ttu"
28,01-23808 ,徳島健生病院,〒770－0805徳島市下助任町４丁目９番地,徳島市,088-622-7771,佐々木　清美,小児科,9:00~12:00,15:00~18:00,1,1,1,1,1,1,0,0,日・祝,金・土（午後）,0,0,0,紹介状は必要ありません。地域に開かれた、どなた様にもご利用いただける病院です。,"https://www.google.com/maps/place/%E5%BE%B3%E5%B3%B6%E5%81%A5%E5%BA%B7%E7%94%9F%E6%B4%BB%E5%8D%94%E5%90%8C%E7%B5%84%E5%90%88+%E5%BE%B3%E5%B3%B6%E5%81%A5%E7%94%9F%E7%97%85%E9%99%A2/@34.0829584,134.5502596,17z/data=!4m6!3m5!1s0x355372829a7f5881:0xee3ecae026d3a38d!8m2!3d34.0829584!4d134.5502596!16s%2Fg%2F120q2cnk?entry=ttu"
29,01-24129 ,中瀬病院,〒771－1151徳島市応神町古川字戎子野９７番地の１,徳島市,088-665-0819,小島　聖,小児科,9:00~12:00,13:30~18:00,1,1,1,1,1,1,0,0,日・祝,土（午後）,0,0,0,地域の皆様が健康で楽しい生活が送られるような診療上を目指しておられます。,"https://www.google.com/maps/place/%E4%B8%AD%E7%80%AC%E7%97%85%E9%99%A2/@34.0829584,134.5502596,14z/data=!4m10!1m2!2m1!1z5Lit54Cs55eF6Zmi44CA5b6z5bO2!3m6!1s0x35536df334b8dc7f:0xe06e33d4eac415d5!8m2!3d34.1048995!4d134.5562247!15sChXkuK3ngKznl4XpmaLjgIDlvrPls7aSAQhob3NwaXRhbOABAA!16s%2Fg%2F1tct6jw6?entry=ttu"
30,01-24434 ,幸地内科小児科,〒770－0942徳島市昭和町４丁目２３番地の１,徳島市,088-626-0333,佐野　宏,小児科,9:00~12:00,14:00~18:20,1,1,1,1,1,1,0,0,日・祝,木（午後）,0,1,0,オンライン資格確認を行う体制ができています。,"https://www.google.com/maps/place/%E5%B9%B8%E5%9C%B0%E5%86%85%E7%A7%91%E3%83%BB%E5%B0%8F%E5%85%90%E7%A7%91/@34.0622383,134.5619976,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d4381d26eb7:0xe4bb5fc527fabb75!8m2!3d34.0622383!4d134.5619976!16s%2Fg%2F1w4vgr7_?entry=ttu"
31,01-24517 ,篠原内科,〒770－0944徳島市南昭和町６丁目５９番地の１,徳島市,088-622-2008,篠原　明宏,小児科,9:00~13:00,15:00~18:00,1,1,1,1,1,1,0,0,日・祝,木・土（午後）,0,0,0,エビデンスに基づいた治療を行うように心掛けられています。,"https://www.google.com/maps/place/%E7%AF%A0%E5%8E%9F%E5%86%85%E7%A7%91/@34.0555236,134.5643491,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d48b2db30c1:0x2dfbba37ba3b0f7e!8m2!3d34.0555236!4d134.5643491!16s%2Fg%2F1tf45z8b?entry=ttu"
32,01-24616 ,橋本内科,〒770－8003徳島市津田本町４丁目３番７４－１号,徳島市,088-663-1177,橋本　恵美子,小児科,9:00~12:30,14:30~18:00,1,1,1,1,1,1,0,0,日・祝,土（午後）,0,0,0,女医さんが診療してくださいます。,"https://www.google.com/maps/place/%E6%A9%8B%E6%9C%AC%E5%86%85%E7%A7%91/@34.0457084,134.5772035,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d31e29b79d9:0x8a17504818bc8c4c!8m2!3d34.0457084!4d134.5772035!16s%2Fg%2F1tqcj0j6?entry=ttu"
33,01-24798 ,佐藤医院,〒779－3133徳島市入田町笠木２００番地の４,徳島市,088-644-0422,佐藤　隆久,小児科,9:00~12:00,15:00~18:00,1,1,0,1,1,1,0,0,日・祝,水,0,0,0,入田町唯一の病院として、プライマリーケアを中心に在宅医療にも力を入れておられます。,"https://www.google.com/maps/place/%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA+%E4%BD%90%E8%97%A4%E5%8C%BB%E9%99%A2/@34.0408225,134.3747283,12z/data=!4m10!1m2!2m1!1z5L2Q6Jek5Yy76Zmi44CA5b6z5bO2!3m6!1s0x35530bcfba032447:0x91b601a57b690b10!8m2!3d34.0408225!4d134.4447661!15sChXkvZDol6TljLvpmaLjgIDlvrPls7aSAQ5tZWRpY2FsX2NsaW5pY-ABAA!16s%2Fg%2F1v4k4b9d?entry=ttu"
34,01-24863 ,島田内科,〒771－0137徳島市川内町平石若宮１１４番地,徳島市,088-665-1100,島田　久夫,小児科,9:00~12:30,14:30~18:30,1,1,1,1,1,1,0,0,日・祝,木・土（午後）,0,0,0,地域の要望に答えることを課題として診療されています。,"https://www.google.com/maps/place/%E5%B3%B6%E7%94%B0%E5%86%85%E7%A7%91/@34.1053613,134.5801243,17z/data=!3m1!4b1!4m6!3m5!1s0x35536dd0f99ec81d:0xbf7b94fa5e17667d!8m2!3d34.1053613!4d134.5801243!16s%2Fg%2F1tg65xs6?entry=ttu"
35,01-34918 ,徳島県立中央病院,〒770－8539徳島市蔵本町１丁目１０－３,徳島市,088-631-7151,葉久　貴司,小児科,8:30~17:00,22:30~9:00,1,1,1,1,1,0,0,0,日・祝,土,0,0,1,総合病院です。（※基本的には紹介状が必要です。）,"https://www.google.com/maps/place/%E5%BE%B3%E5%B3%B6%E7%9C%8C%E7%AB%8B%E4%B8%AD%E5%A4%AE%E7%97%85%E9%99%A2/@34.0759622,134.5204443,17z/data=!3m1!4b1!4m6!3m5!1s0x355372d07be6aab7:0x2155f2b5403e9a9d!8m2!3d34.0759622!4d134.5204443!16s%2Fg%2F12269br7?entry=ttu"
36,01-24921 ,徳島市民病院,〒770－0812徳島市北常三島町２丁目３４番地,徳島市,088-622-5121,中野　俊次,小児科,8:30~17:00,19:30~10:30,1,1,1,1,1,0,0,0,日・祝,土,0,0,1,総合病院です。（※基本的には紹介状が必要です。）,"https://www.google.com/maps/place/%E5%BE%B3%E5%B3%B6%E5%B8%82%E6%B0%91%E7%97%85%E9%99%A2/@34.0820782,134.5632281,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d7669d7f5d5:0x4a29380f0e780181!8m2!3d34.0820782!4d134.5632281!16s%2Fg%2F120xjcjm?entry=ttu"
37,01-24996 ,新居内科,〒779－3120徳島市国府町南岩延８１０番地１,徳島市,088-642-1212,新居　友夫,小児科,9:00~12:00,14:00~18:30,1,1,1,1,1,1,0,0,日・祝,0,0,0,1,可能な限り夜間、休日の時間外診療をしていただけます。（※要相談）,"https://www.google.com/maps/place/%E6%96%B0%E5%B1%85%E5%86%85%E7%A7%91/@34.0743382,134.4270613,12z/data=!4m10!1m2!2m1!1z5paw5bGF5YaF56eR44CA5b6z5bO2!3m6!1s0x35530ccb96a3d521:0x2049e2eb384df513!8m2!3d34.0743382!4d134.4970991!15sChXmlrDlsYXlhoXnp5HjgIDlvrPls7aSAQlpbnRlcm5pc3TgAQA!16s%2Fg%2F1tdwh9zt?entry=ttu"
38,01-25035 ,三好内科,〒770－0804徳島市中吉野町２丁目３９番地,徳島市,088-623-0207,三好　由貴子,小児科,9:00~13:00,14:30~18:30,1,1,0,1,1,1,0,0,日・祝,水,0,0,0,安心で安全な医療をお届けするためにマスクの着用をお願いいたします。,"https://www.google.com/maps/place/%E4%B8%89%E5%A5%BD%E5%86%85%E7%A7%91/@34.085541,134.557471,17z/data=!3m1!4b1!4m6!3m5!1s0x35536d78611fa18f:0x19834467aa7f393c!8m2!3d34.085541!4d134.557471!16s%2Fg%2F1tdmmwkm?entry=ttu"
